"","x"
"1","GNG100"
"2","GNG101"
"3","GNG103"
"4","GNG104"
"5","GNG106"
"6","GNG107"
"7","GNG15"
"8","GNG17"
"9","GNG19"
"10","GNG20"
"11","GNG22"
"12","GNG23"
"13","GNG24"
"14","GNG25"
"15","GNG26"
"16","GNG27"
"17","GNG28"
"18","GNG33"
"19","GNG35"
"20","GNG37"
"21","GNG39"
"22","GNG41"
"23","GNG42"
"24","GNG43"
"25","GNG44"
"26","GNG45"
"27","GNG47"
"28","GNG48"
"29","GNG53"
"30","GNG54"
"31","GNG55"
"32","GNG56"
"33","GNG60"
"34","GNG61"
"35","GNG62"
"36","GNG63"
"37","GNG64"
"38","GNG66"
"39","GNG67"
"40","GNG68"
"41","GNG69"
"42","GNG70"
"43","GNG71"
"44","GNG73"
"45","GNG74"
"46","GNG76"
"47","GNG78"
"48","GNG79"
"49","GNG80"
"50","GNG81"
"51","GNG84"
"52","GNG85"
"53","GNG86"
"54","GNG88"
"55","GNG89"
"56","GNG90"
"57","GNG93"
"58","GNG94"
"59","GNG97"
"60","GNG98"
